CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Lighter_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:19:55"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
51	D12	   90.00	   90.00	   90.00	 0.15957	 0.15003	 0.09232	   45.64	    8.83	    9.90	
52	D13	   20.00	   20.00	   20.00	 0.01676	 0.01518	 0.00905	   12.72	    5.70	    5.09	
53	E1	  175.00	  175.00	  175.00	 0.46167	 0.46298	 0.33150	   73.74	    4.36	    7.15	
54	E2	  205.00	  205.00	  205.00	 0.59709	 0.60968	 0.47185	   82.36	    2.21	    3.59	
55	E3	  195.00	  195.00	  195.00	 0.54972	 0.55836	 0.42089	   79.52	    2.87	    4.89	
56	E4	  215.00	  215.00	  215.00	 0.64207	 0.65889	 0.52409	   84.94	    1.54	    2.12	
57	E5	  235.00	  235.00	  235.00	 0.72753	 0.75540	 0.62158	   89.65	   -0.18	    0.17	
58	E6	  200.00	  200.00	  200.00	 0.57081	 0.58137	 0.44457	   80.81	    2.53	    4.18	
59	E7	  140.00	  140.00	  140.00	 0.32013	 0.31359	 0.20979	   62.81	    6.52	    9.18	
60	E8	   75.00	   75.00	   75.00	 0.11832	 0.11003	 0.06586	   39.59	    8.87	    9.73	
61	E9	  230.00	  230.00	  230.00	 0.70588	 0.73087	 0.59754	   88.49	    0.25	    0.56	
62	E10	  180.00	  180.00	  180.00	 0.48005	 0.48342	 0.35090	   75.04	    3.87	    6.57	
63	E11	   40.00	   40.00	   40.00	 0.04150	 0.03737	 0.02122	   22.78	    8.06	    7.84	
64	E12	   95.00	   95.00	   95.00	 0.17506	 0.16552	 0.10296	   47.69	    8.59	    9.87	
65	E13	   25.00	   25.00	   25.00	 0.02164	 0.01956	 0.01152	   15.26	    6.30	    5.74	
66	F1	  255.00	  255.00	  255.00	 0.83208	 0.87068	 0.74033	   94.77	   -1.42	   -1.92	
67	F2	  230.00	  230.00	  230.00	 0.70554	 0.73048	 0.59893	   88.47	    0.26	    0.39	
68	F3	   80.00	   80.00	   80.00	 0.13169	 0.12285	 0.07402	   41.67	    8.93	    9.90	
69	F4	   75.00	   75.00	   75.00	 0.11810	 0.10977	 0.06599	   39.54	    8.90	    9.60	
70	F5	  105.00	  105.00	  105.00	 0.20362	 0.19434	 0.12271	   51.19	    8.13	    9.89	
71	F6	    5.00	    5.00	    5.00	 0.00545	 0.00525	 0.00372	    4.74	    1.58	    1.15	
72	F7	  165.00	  165.00	  165.00	 0.41674	 0.41442	 0.28954	   70.48	    5.26	    8.05	
73	F8	  130.00	  130.00	  130.00	 0.28556	 0.27774	 0.18328	   59.68	    7.06	    9.37	
74	F9	  120.00	  120.00	  120.00	 0.24995	 0.24160	 0.15618	   56.25	    7.40	    9.73	
75	F10	  170.00	  170.00	  170.00	 0.43463	 0.43414	 0.30752	   71.83	    4.77	    7.52	
76	F11	  140.00	  140.00	  140.00	 0.31768	 0.31119	 0.20806	   62.61	    6.51	    9.18	
77	F12	   20.00	   20.00	   20.00	 0.01683	 0.01526	 0.00907	   12.77	    5.70	    5.13	
78	F13	   40.00	   40.00	   40.00	 0.04130	 0.03724	 0.02132	   22.74	    7.98	    7.66	
79	G1	  185.00	  185.00	  185.00	 0.50587	 0.51079	 0.37760	   76.73	    3.58	    5.76	
80	G2	  150.00	  150.00	  150.00	 0.36092	 0.35569	 0.24137	   66.19	    6.08	    8.95	
81	G3	   80.00	   80.00	   80.00	 0.13257	 0.12381	 0.07468	   41.82	    8.86	    9.89	
82	G4	   65.00	   65.00	   65.00	 0.09467	 0.08731	 0.05163	   35.46	    8.85	    9.33	
83	G5	  185.00	  185.00	  185.00	 0.50294	 0.50812	 0.37523	   76.56	    3.50	    5.80	
84	G6	  110.00	  110.00	  110.00	 0.21939	 0.21034	 0.13409	   52.99	    7.89	    9.80	
85	G7	  250.00	  250.00	  250.00	 0.80590	 0.84202	 0.71041	   93.54	   -1.16	   -1.40	
