CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800ABW_Darkest_PM"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-27T13:25:09"

NUMBER_OF_FIELDS	11
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
51	D12	   90.00	   90.00	   90.00	 0.09091	 0.08390	 0.04938	   34.78	    8.67	    9.33	
52	D13	   20.00	   20.00	   20.00	 0.00800	 0.00749	 0.00513	    6.76	    3.14	    1.98	
53	E1	  175.00	  175.00	  175.00	 0.38090	 0.37694	 0.25791	   67.79	    5.69	    8.75	
54	E2	  205.00	  205.00	  205.00	 0.53238	 0.54023	 0.40374	   78.48	    2.97	    5.29	
55	E3	  195.00	  195.00	  195.00	 0.47601	 0.47922	 0.34742	   74.78	    3.90	    6.61	
56	E4	  215.00	  215.00	  215.00	 0.58954	 0.60181	 0.46555	   81.94	    2.23	    3.60	
57	E5	  235.00	  235.00	  235.00	 0.70044	 0.72521	 0.59226	   88.22	    0.25	    0.62	
58	E6	  200.00	  200.00	  200.00	 0.50353	 0.50903	 0.37557	   76.62	    3.42	    5.85	
59	E7	  140.00	  140.00	  140.00	 0.23696	 0.22838	 0.14674	   54.90	    7.56	    9.78	
60	E8	   75.00	   75.00	   75.00	 0.06076	 0.05539	 0.03177	   28.22	    8.37	    8.71	
61	E9	  230.00	  230.00	  230.00	 0.67021	 0.69070	 0.55626	   86.54	    0.93	    1.43	
62	E10	  180.00	  180.00	  180.00	 0.40202	 0.39883	 0.27609	   69.39	    5.49	    8.37	
63	E11	   40.00	   40.00	   40.00	 0.01887	 0.01704	 0.01004	   13.85	    6.09	    5.46	
64	E12	   95.00	   95.00	   95.00	 0.10307	 0.09552	 0.05685	   37.03	    8.73	    9.44	
65	E13	   25.00	   25.00	   25.00	 0.01053	 0.00969	 0.00630	    8.73	    4.34	    3.18	
66	F1	  255.00	  255.00	  255.00	 0.83118	 0.87024	 0.74040	   94.75	   -1.51	   -1.95	
67	F2	  230.00	  230.00	  230.00	 0.67027	 0.69107	 0.55661	   86.56	    0.87	    1.42	
68	F3	   80.00	   80.00	   80.00	 0.06930	 0.06355	 0.03644	   30.29	    8.35	    9.12	
69	F4	   75.00	   75.00	   75.00	 0.05935	 0.05413	 0.03096	   27.88	    8.27	    8.70	
70	F5	  105.00	  105.00	  105.00	 0.12838	 0.12005	 0.07246	   41.22	    8.66	    9.77	
71	F6	    5.00	    5.00	    5.00	 0.00347	 0.00348	 0.00288	    3.14	    0.47	   -0.02	
72	F7	  165.00	  165.00	  165.00	 0.33344	 0.32776	 0.22126	   63.98	    6.22	    8.93	
73	F8	  130.00	  130.00	  130.00	 0.20086	 0.19181	 0.12075	   50.90	    8.04	    9.95	
74	F9	  120.00	  120.00	  120.00	 0.17055	 0.16101	 0.10015	   47.11	    8.66	    9.78	
