CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"9800_Cold_ABW52x5_M2"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2020-12-07T15:45:02"

NUMBER_OF_FIELDS	46
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
9	  135.00	  135.00	  135.00	 0.16470	 0.17237	 0.15832	   48.56	   -0.84	   -4.04	    0.1071	    0.1141	    0.1191	    0.1222	    0.1423	    0.1729	    0.1865	    0.1938	    0.2005	    0.2057	    0.2072	    0.2064	    0.2053	    0.1952	    0.1827	    0.1838	    0.1855	    0.1653	    0.1463	    0.1510	    0.1628	    0.1675	    0.1649	    0.1625	    0.1656	    0.1721	    0.1817	    0.1964	    0.2120	    0.2202	    0.2198	    0.2156	    0.2088	    0.2065	    0.2211	    0.2512	
10	  125.00	  125.00	  125.00	 0.14079	 0.14726	 0.13740	   45.26	   -0.75	   -4.41	    0.0938	    0.1001	    0.1044	    0.1071	    0.1237	    0.1496	    0.1618	    0.1684	    0.1744	    0.1788	    0.1798	    0.1788	    0.1775	    0.1680	    0.1565	    0.1576	    0.1593	    0.1407	    0.1234	    0.1278	    0.1387	    0.1429	    0.1404	    0.1379	    0.1407	    0.1467	    0.1557	    0.1694	    0.1840	    0.1918	    0.1915	    0.1873	    0.1804	    0.1779	    0.1917	    0.2213	
11	   40.00	   40.00	   40.00	 0.01239	 0.01315	 0.01218	   11.38	   -0.90	   -1.86	    0.0095	    0.0102	    0.0106	    0.0109	    0.0115	    0.0131	    0.0142	    0.0149	    0.0154	    0.0156	    0.0159	    0.0161	    0.0163	    0.0153	    0.0142	    0.0145	    0.0147	    0.0126	    0.0108	    0.0113	    0.0124	    0.0126	    0.0120	    0.0116	    0.0118	    0.0125	    0.0137	    0.0158	    0.0180	    0.0193	    0.0190	    0.0182	    0.0168	    0.0167	    0.0198	    0.0270	
12	  110.00	  110.00	  110.00	 0.10305	 0.10777	 0.10243	   39.20	   -0.66	   -4.59	    0.0687	    0.0732	    0.0764	    0.0784	    0.0911	    0.1110	    0.1203	    0.1257	    0.1305	    0.1338	    0.1339	    0.1334	    0.1326	    0.1248	    0.1152	    0.1163	    0.1178	    0.1023	    0.0881	    0.0918	    0.1008	    0.1043	    0.1020	    0.0999	    0.1023	    0.1073	    0.1148	    0.1266	    0.1391	    0.1458	    0.1455	    0.1418	    0.1355	    0.1334	    0.1457	    0.1731	
13	   25.00	   25.00	   25.00	 0.00708	 0.00750	 0.00688	    6.78	   -0.64	   -1.30	    0.0051	    0.0055	    0.0057	    0.0059	    0.0068	    0.0078	    0.0082	    0.0085	    0.0086	    0.0088	    0.0086	    0.0087	    0.0089	    0.0085	    0.0080	    0.0082	    0.0083	    0.0072	    0.0065	    0.0068	    0.0072	    0.0073	    0.0069	    0.0066	    0.0067	    0.0070	    0.0076	    0.0085	    0.0096	    0.0102	    0.0099	    0.0095	    0.0092	    0.0090	    0.0109	    0.0149	
14	   45.00	   45.00	   45.00	 0.01458	 0.01546	 0.01456	   12.90	   -0.94	   -2.24	    0.0107	    0.0114	    0.0119	    0.0122	    0.0135	    0.0157	    0.0170	    0.0179	    0.0186	    0.0188	    0.0188	    0.0190	    0.0193	    0.0183	    0.0168	    0.0172	    0.0174	    0.0147	    0.0125	    0.0132	    0.0145	    0.0147	    0.0141	    0.0135	    0.0139	    0.0148	    0.0162	    0.0187	    0.0213	    0.0227	    0.0223	    0.0214	    0.0197	    0.0193	    0.0229	    0.0311	
15	  135.00	  135.00	  135.00	 0.16722	 0.17508	 0.16098	   48.89	   -0.89	   -4.11	    0.1092	    0.1164	    0.1214	    0.1246	    0.1449	    0.1758	    0.1898	    0.1970	    0.2038	    0.2091	    0.2109	    0.2098	    0.2086	    0.1982	    0.1856	    0.1866	    0.1884	    0.1680	    0.1488	    0.1536	    0.1654	    0.1701	    0.1674	    0.1649	    0.1680	    0.1744	    0.1842	    0.1989	    0.2145	    0.2228	    0.2225	    0.2179	    0.2106	    0.2086	    0.2230	    0.2537	
16	  205.00	  205.00	  205.00	 0.47263	 0.49522	 0.43404	   75.78	   -1.35	   -3.21	    0.3040	    0.3241	    0.3381	    0.3469	    0.4018	    0.4842	    0.5164	    0.5306	    0.5456	    0.5610	    0.5651	    0.5547	    0.5443	    0.5297	    0.5148	    0.5128	    0.5119	    0.4881	    0.4636	    0.4661	    0.4764	    0.4811	    0.4789	    0.4774	    0.4821	    0.4905	    0.5031	    0.5209	    0.5394	    0.5503	    0.5533	    0.5518	    0.5477	    0.5483	    0.5625	    0.5908	
17	  230.00	  230.00	  230.00	 0.63312	 0.66264	 0.57019	   85.13	   -1.33	   -2.45	    0.4035	    0.4302	    0.4489	    0.4606	    0.5329	    0.6416	    0.6817	    0.6971	    0.7147	    0.7346	    0.7403	    0.7231	    0.7064	    0.6926	    0.6812	    0.6772	    0.6739	    0.6571	    0.6394	    0.6400	    0.6446	    0.6470	    0.6458	    0.6457	    0.6494	    0.6554	    0.6649	    0.6777	    0.6907	    0.6990	    0.7028	    0.7036	    0.7042	    0.7058	    0.7132	    0.7278	
18	  200.00	  200.00	  200.00	 0.44702	 0.46827	 0.41103	   74.08	   -1.29	   -3.23	    0.2893	    0.3084	    0.3218	    0.3302	    0.3808	    0.4578	    0.4886	    0.5023	    0.5167	    0.5312	    0.5354	    0.5261	    0.5169	    0.5025	    0.4872	    0.4856	    0.4851	    0.4607	    0.4356	    0.4388	    0.4503	    0.4553	    0.4530	    0.4513	    0.4559	    0.4643	    0.4771	    0.4950	    0.5137	    0.5246	    0.5273	    0.5255	    0.5214	    0.5211	    0.5357	    0.5646	
