CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"Neutrals52x5.txt 6x6 Cnt260 DPI600 09-26-19  9-18PM 9800ABW_52x52"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2019-10-06T11:05:14"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	260
BEGIN_DATA
11	B2	     40.00   40.00   40.00   0.05816 0.05844 0.04567   29.02000 2.06000 1.40000   0.04600 0.04910 0.05120 0.05260 0.05340 0.05380 0.05400 0.05470 0.05590 0.05660 0.05660 0.05740 0.05770 0.05680 0.05580 0.05620 0.05690 0.05550 0.05490 0.05750 0.06020 0.06170 0.06220 0.06250 0.06310 0.06410 0.06530 0.06700 0.06850 0.06880 0.06880 0.06870 0.06930 0.07020 0.07280 0.07640
12	B3	    110.00  110.00  110.00   0.14198 0.13832 0.09758   43.99000 5.45000 5.27000   0.09520 0.10150 0.10590 0.10870 0.11050 0.11210 0.11360 0.11600 0.11870 0.12080 0.12370 0.12860 0.13240 0.12960 0.12520 0.12750 0.13100 0.12530 0.12200 0.13270 0.14650 0.15480 0.15820 0.16020 0.16340 0.16710 0.17170 0.17740 0.18250 0.18540 0.18610 0.18640 0.18640 0.18850 0.19440 0.20290
13	B4	     25.00   25.00   25.00   0.05044 0.05113 0.04092   27.05000 1.42000 0.75000   0.04150 0.04420 0.04610 0.04730 0.04830 0.04880 0.04880 0.04930 0.05000 0.05020 0.05040 0.05090 0.05080 0.05010 0.04950 0.04970 0.05010 0.04920 0.04890 0.05060 0.05230 0.05310 0.05330 0.05340 0.05390 0.05440 0.05550 0.05660 0.05750 0.05780 0.05780 0.05780 0.05770 0.05870 0.06090 0.06250
14	B5	     45.00   45.00   45.00   0.06200 0.06219 0.04828   29.96000 2.22000 1.59000   0.04820 0.05140 0.05360 0.05500 0.05630 0.05700 0.05710 0.05790 0.05890 0.05970 0.06010 0.06070 0.06150 0.06040 0.05910 0.05970 0.06050 0.05890 0.05810 0.06100 0.06420 0.06600 0.06650 0.06680 0.06760 0.06860 0.07000 0.07180 0.07340 0.07400 0.07400 0.07350 0.07360 0.07520 0.07790 0.08220
15	B6	    135.00  135.00  135.00   0.19374 0.18881 0.13140   50.55000 6.01000 6.33000   0.12550 0.13380 0.13960 0.14330 0.14690 0.15050 0.15300 0.15620 0.15960 0.16280 0.16710 0.17370 0.18000 0.17700 0.17110 0.17400 0.17870 0.17100 0.16660 0.18110 0.20000 0.21140 0.21620 0.21940 0.22380 0.22900 0.23520 0.24240 0.24890 0.25260 0.25370 0.25320 0.25360 0.25670 0.26330 0.27370
16	B7	    205.00  205.00  205.00   0.45921 0.45952 0.34195   73.51000 4.63000 5.23000   0.32100 0.34220 0.35710 0.36640 0.37920 0.39360 0.40220 0.40990 0.41810 0.42460 0.43160 0.44210 0.45130 0.44690 0.43770 0.44010 0.44530 0.43380 0.42640 0.44560 0.46990 0.48600 0.49510 0.50340 0.51310 0.52320 0.53450 0.54620 0.55580 0.56040 0.56130 0.56090 0.56190 0.56600 0.57420 0.58630
17	B8	    230.00  230.00  230.00   0.61252 0.62206 0.49027   83.02000 3.00000 2.60000   0.46040 0.49090 0.51220 0.52550 0.54460 0.56710 0.58000 0.59070 0.60210 0.61070 0.61680 0.62290 0.62620 0.61990 0.61050 0.60890 0.61030 0.60060 0.59280 0.60510 0.62120 0.63420 0.64430 0.65550 0.66770 0.67950 0.69210 0.70400 0.71280 0.71640 0.71710 0.71640 0.71830 0.72220 0.72730 0.73630
18	B9	    200.00  200.00  200.00   0.43204 0.43113 0.31702   71.63000 4.88000 5.70000   0.29660 0.31620 0.32990 0.33850 0.35090 0.36410 0.37180 0.37940 0.38750 0.39410 0.40080 0.41170 0.42160 0.41740 0.40830 0.41110 0.41670 0.40520 0.39790 0.41770 0.44290 0.45920 0.46810 0.47580 0.48500 0.49480 0.50570 0.51710 0.52680 0.53130 0.53230 0.53200 0.53290 0.53670 0.54520 0.55820
19	C1	     35.00   35.00   35.00   0.05510 0.05557 0.04388   28.27000 1.78000 1.11000   0.04440 0.04730 0.04930 0.05060 0.05160 0.05210 0.05210 0.05280 0.05360 0.05400 0.05430 0.05490 0.05510 0.05430 0.05330 0.05370 0.05430 0.05310 0.05250 0.05480 0.05710 0.05830 0.05860 0.05890 0.05940 0.06020 0.06140 0.06270 0.06390 0.06460 0.06440 0.06430 0.06470 0.06570 0.06810 0.07070
20	C2	    235.00  235.00  235.00   0.65060 0.66323 0.52830   85.16000 2.51000 2.04000   0.49700 0.52990 0.55280 0.56720 0.58820 0.61280 0.62620 0.63690 0.64850 0.65760 0.66470 0.66940 0.67100 0.66460 0.65540 0.65220 0.65250 0.64370 0.63610 0.64610 0.65930 0.67110 0.68100 0.69240 0.70480 0.71650 0.72920 0.74080 0.74910 0.75240 0.75290 0.75230 0.75440 0.75780 0.76300 0.77070
21	C3	     65.00   65.00   65.00   0.07994 0.07897 0.05922   33.77000 3.50000 2.70000   0.05950 0.06340 0.06620 0.06790 0.06870 0.06930 0.06970 0.07080 0.07220 0.07300 0.07420 0.07580 0.07690 0.07530 0.07330 0.07420 0.07570 0.07310 0.07170 0.07670 0.08280 0.08620 0.08730 0.08800 0.08930 0.09090 0.09300 0.09560 0.09800 0.09930 0.09920 0.09910 0.09920 0.10080 0.10440 0.10930
22	C4	     15.00   15.00   15.00   0.04637 0.04735 0.03848   25.97000 0.94000 0.37000   0.04040 0.04310 0.04500 0.04610 0.04620 0.04580 0.04580 0.04630 0.04700 0.04730 0.04750 0.04760 0.04720 0.04670 0.04640 0.04650 0.04660 0.04610 0.04600 0.04720 0.04810 0.04850 0.04850 0.04860 0.04900 0.04940 0.05010 0.05110 0.05180 0.05200 0.05210 0.05200 0.05200 0.05280 0.05430 0.05580
23	C5	     50.00   50.00   50.00   0.06596 0.06578 0.05067   30.83000 2.65000 1.83000   0.05120 0.05460 0.05700 0.05850 0.05950 0.05980 0.05990 0.06070 0.06180 0.06240 0.06300 0.06410 0.06470 0.06340 0.06200 0.06270 0.06370 0.06180 0.06090 0.06430 0.06830 0.07050 0.07120 0.07160 0.07240 0.07360 0.07520 0.07710 0.07890 0.07970 0.07970 0.07970 0.07990 0.08090 0.08380 0.08860
24	C6	     35.00   35.00   35.00   0.05629 0.05681 0.04479   28.59000 1.75000 1.16000   0.04510 0.04810 0.05020 0.05150 0.05280 0.05320 0.05320 0.05370 0.05460 0.05510 0.05580 0.05630 0.05640 0.05550 0.05460 0.05500 0.05550 0.05420 0.05370 0.05600 0.05840 0.05960 0.06000 0.06010 0.06070 0.06150 0.06250 0.06400 0.06540 0.06580 0.06570 0.06540 0.06570 0.06680 0.06940 0.07220
25	C7	     30.00   30.00   30.00   0.05280 0.05337 0.04259   27.67000 1.62000 0.83000   0.04450 0.04750 0.04950 0.05080 0.05110 0.05070 0.05060 0.05110 0.05200 0.05240 0.05250 0.05290 0.05290 0.05220 0.05150 0.05180 0.05220 0.05110 0.05070 0.05270 0.05480 0.05580 0.05590 0.05610 0.05670 0.05730 0.05830 0.05970 0.06070 0.06120 0.06110 0.06090 0.06100 0.06280 0.06410 0.06720
26	C8	    175.00  175.00  175.00   0.31140 0.30588 0.21461   62.16000 6.16000 7.09000   0.20330 0.21670 0.22610 0.23200 0.23850 0.24560 0.25030 0.25550 0.26110 0.26570 0.27190 0.28370 0.29360 0.28990 0.28130 0.28510 0.29140 0.28030 0.27380 0.29410 0.32080 0.33740 0.34500 0.35070 0.35760 0.36530 0.37440 0.38450 0.39340 0.39790 0.39920 0.39880 0.39970 0.40270 0.41160 0.42610
27	C9	    240.00  240.00  240.00   0.68588 0.70164 0.56464   87.08000 2.04000 1.48000   0.53080 0.56590 0.59040 0.60580 0.62890 0.65560 0.66960 0.68120 0.69350 0.70350 0.70990 0.71360 0.71350 0.70690 0.69790 0.69320 0.69220 0.68440 0.67660 0.68390 0.69420 0.70460 0.71450 0.72610 0.73860 0.75050 0.76320 0.77450 0.78250 0.78530 0.78600 0.78510 0.78700 0.78990 0.79430 0.80090
28	D1	     35.00   35.00   35.00   0.05505 0.05555 0.04380   28.26000 1.75000 1.15000   0.04520 0.04820 0.05030 0.05160 0.05200 0.05200 0.05190 0.05240 0.05340 0.05400 0.05440 0.05500 0.05520 0.05420 0.05330 0.05370 0.05420 0.05310 0.05260 0.05480 0.05710 0.05830 0.05860 0.05880 0.05940 0.06020 0.06120 0.06270 0.06380 0.06430 0.06410 0.06410 0.06430 0.06570 0.06850 0.07100
29	D2	     45.00   45.00   45.00   0.06217 0.06229 0.04839   29.98000 2.30000 1.58000   0.04950 0.05280 0.05510 0.05650 0.05700 0.05720 0.05720 0.05790 0.05900 0.05970 0.06040 0.06090 0.06140 0.06040 0.05920 0.05970 0.06050 0.05890 0.05810 0.06110 0.06450 0.06620 0.06680 0.06710 0.06780 0.06880 0.07020 0.07200 0.07360 0.07420 0.07430 0.07390 0.07390 0.07530 0.07800 0.08170
30	D3	    185.00  185.00  185.00   0.35518 0.35074 0.24970   65.81000 5.81000 6.78000   0.23540 0.25100 0.26190 0.26870 0.27690 0.28620 0.29190 0.29790 0.30430 0.30940 0.31590 0.32800 0.33840 0.33470 0.32570 0.32940 0.33580 0.32430 0.31740 0.33830 0.36530 0.38230 0.39060 0.39700 0.40480 0.41350 0.42340 0.43430 0.44370 0.44830 0.44940 0.44920 0.45030 0.45410 0.46260 0.47770
31	D4	     55.00   55.00   55.00   0.07011 0.06971 0.05337   31.74000 2.91000 2.03000   0.05410 0.05770 0.06020 0.06170 0.06240 0.06270 0.06310 0.06390 0.06520 0.06580 0.06640 0.06770 0.06850 0.06700 0.06540 0.06610 0.06730 0.06510 0.06410 0.06800 0.07260 0.07520 0.07600 0.07650 0.07730 0.07860 0.08030 0.08240 0.08430 0.08540 0.08520 0.08500 0.08470 0.08610 0.08900 0.09350
32	D5	    210.00  210.00  210.00   0.48659 0.48842 0.36735   75.35000 4.32000 4.79000   0.34530 0.36810 0.38410 0.39410 0.40760 0.42300 0.43210 0.44050 0.44970 0.45650 0.46360 0.47400 0.48230 0.47740 0.46780 0.46990 0.47460 0.46310 0.45530 0.47390 0.49750 0.51320 0.52240 0.53100 0.54090 0.55130 0.56300 0.57490 0.58430 0.58890 0.58970 0.58960 0.59100 0.59520 0.60300 0.61420
33	D6	     55.00   55.00   55.00   0.07061 0.07021 0.05355   31.85000 2.92000 2.14000   0.05480 0.05840 0.06090 0.06250 0.06300 0.06290 0.06320 0.06400 0.06520 0.06600 0.06680 0.06810 0.06890 0.06750 0.06590 0.06660 0.06770 0.06550 0.06450 0.06850 0.07320 0.07570 0.07650 0.07700 0.07800 0.07930 0.08110 0.08320 0.08530 0.08630 0.08620 0.08620 0.08610 0.08770 0.09070 0.09530
34	D7	    210.00  210.00  210.00   0.48614 0.48793 0.36697   75.32000 4.32000 4.79000   0.34490 0.36770 0.38360 0.39360 0.40730 0.42300 0.43190 0.44020 0.44920 0.45570 0.46280 0.47320 0.48160 0.47680 0.46740 0.46920 0.47400 0.46250 0.45500 0.47360 0.49700 0.51270 0.52200 0.53060 0.54050 0.55070 0.56210 0.57390 0.58310 0.58760 0.58860 0.58810 0.58940 0.59330 0.60060 0.61200
35	D8	    125.00  125.00  125.00   0.17141 0.16714 0.11629   47.90000 5.72000 6.09000   0.11150 0.11890 0.12410 0.12730 0.13030 0.13310 0.13520 0.13820 0.14140 0.14390 0.14780 0.15420 0.15940 0.15670 0.15150 0.15410 0.15830 0.15150 0.14760 0.16040 0.17700 0.18700 0.19120 0.19410 0.19780 0.20240 0.20790 0.21430 0.22010 0.22360 0.22470 0.22400 0.22470 0.22730 0.23410 0.24360
36	D9	    210.00  210.00  210.00   0.49022 0.49203 0.37045   75.58000 4.33000 4.75000   0.34940 0.37250 0.38870 0.39880 0.41200 0.42730 0.43610 0.44430 0.45310 0.46030 0.46710 0.47690 0.48560 0.48090 0.47130 0.47330 0.47810 0.46650 0.45890 0.47760 0.50110 0.51700 0.52630 0.53490 0.54490 0.55510 0.56680 0.57840 0.58790 0.59230 0.59330 0.59300 0.59470 0.59910 0.60630 0.61800
37	E1	    145.00  145.00  145.00   0.21871 0.21343 0.14855   53.32000 6.13000 6.60000   0.14270 0.15210 0.15870 0.16280 0.16660 0.17010 0.17290 0.17660 0.18060 0.18380 0.18830 0.19640 0.20350 0.20040 0.19390 0.19700 0.20220 0.19370 0.18880 0.20480 0.22580 0.23850 0.24390 0.24760 0.25240 0.25810 0.26490 0.27290 0.27990 0.28360 0.28520 0.28470 0.28510 0.28810 0.29630 0.30850
